-10.000000	0.000000
-9.848485	0.000000
-9.696970	0.000000
-9.545455	0.000000
-9.393939	0.000000
-9.242424	0.000000
-9.090909	0.000000
-8.939394	0.000010
-8.787879	0.000141
-8.636364	0.000759
-8.484848	0.001893
-8.333333	0.003069
-8.181818	0.003194
-8.030303	0.004499
-7.878788	0.013054
-7.727273	0.021928
-7.575758	0.034436
-7.424242	0.086046
-7.272727	0.154532
-7.121212	0.165675
-6.969697	0.112637
-6.818182	0.101524
-6.666667	0.246428
-6.515152	0.361033
-6.363636	0.298061
-6.212121	0.277613
-6.060606	0.409423
-5.909091	0.475550
-5.757576	0.755571
-5.606061	1.649179
-5.454545	3.159785
-5.303030	5.008014
-5.151515	5.237183
-5.000000	4.415455
-4.848485	4.426215
-4.696970	4.893220
-4.545455	6.127491
-4.393939	7.815013
-4.242424	8.014311
-4.090909	7.045043
-3.939394	6.512941
-3.787879	6.708472
-3.636364	6.318529
-3.484848	6.582050
-3.333333	7.325917
-3.181818	8.599201
-3.030303	10.774403
-2.878788	11.843586
-2.727273	10.811084
-2.575758	9.278510
-2.424242	8.554185
-2.272727	8.988505
-2.121212	9.650066
-1.969697	9.162816
-1.818182	6.948244
-1.666667	4.763350
-1.515152	3.839780
-1.363636	3.732860
-1.212121	4.653117
-1.060606	5.942116
-0.909091	6.388817
-0.757576	5.862699
-0.606061	5.320188
-0.454545	4.875556
-0.303030	4.969804
-0.151515	5.448295
0.000000	4.776338
0.151515	3.002428
0.303030	1.510466
0.454545	1.046362
0.606061	1.045939
0.757576	0.849542
0.909091	0.632770
1.060606	0.546645
1.212121	0.418601
1.363636	0.311607
1.515152	0.268696
1.666667	0.202100
1.818182	0.169723
1.969697	0.188225
2.121212	0.187372
2.272727	0.158917
2.424242	0.112721
2.575758	0.045022
2.727273	0.012023
2.878788	0.015584
3.030303	0.016200
3.181818	0.006074
3.333333	0.000793
3.484848	0.000035
3.636364	0.000001
3.787879	0.000000
3.939394	0.000000
4.090909	0.000000
4.242424	0.000000
4.393939	0.000000
4.545455	0.000000
4.696970	0.000000
4.848485	0.000000
5.000000	0.000000
